TUCASEID,time_spent_alone_nonwork_related,socializing_with_others
20200101200103,470,0
20200101200158,220,45
20200101200215,425,0
20200101200256,470,0
20200101200395,108,259
20200101200512,43,0
20200101200532,667,128
20200101200576,195,0
20200101200586,92,0
20200101200641,375,0
20200101200655,870,0
20200101200694,360,0
20200101200719,178,0
20200101200734,185,30
20200101200759,620,0
20200101200771,165,0
20200101200780,180,8
20200101200809,0,0
20200101200814,94,20
20200101200829,250,30
20200101200838,725,0
20200101200849,188,1
20200101200861,672,42
20200101200890,577,0
20200101200915,30,90
20200101200964,330,0
20200101200973,1140,0
20200101201014,145,0
20200101201058,248,0
20200101201073,97,0
20200101201074,366,0
20200101201099,1150,0
20200101201110,495,0
20200101201119,591,25
20200101201134,480,0
20200101201144,940,0
20200101201230,150,15
20200101201268,73,0
20200101201270,330,0
20200101201274,759,0
20200101201310,0,0
20200101201312,930,0
20200101201313,510,0
20200101201337,0,0
20200101201370,493,35
20200101201372,500,180
20200101201380,415,0
20200101201406,640,120
20200101201408,60,0
20200101201415,301,0
20200101201418,784,10
20200101201501,360,0
20200101201522,500,270
20200101201528,443,20
20200101201549,35,0
20200101201588,70,90
20200101201623,145,60
20200101201670,120,90
20200101201676,805,0
20200101201701,160,0
20200101201702,621,20
20200101201704,605,145
20200101201730,605,0
20200101201753,110,15
20200101201813,0,0
20200101201824,325,0
20200101201827,428,90
20200101201837,480,0
20200101201838,545,205
20200101201889,160,0
20200101201893,375,0
20200101201900,144,420
20200101201965,381,60
20200101201975,400,55
20200101201983,170,0
20200101202001,79,0
20200101202027,50,0
20200101202032,0,90
20200101202046,620,0
20200101202107,600,0
20200101202178,624,0
20200101202240,928,17
20200101202252,550,0
20200110190084,125,30
20200110190691,145,0
20200110190781,450,0
20200110190880,460,120
20200110190896,0,60
20200110190981,0,150
20200110191038,255,0
20200110191107,260,75
20200110191249,60,0
20200110191270,210,0
20200110191335,0,625
20200110191477,5,0
20200110191538,0,0
20200110191855,50,475
20200110192022,660,0
20200110192026,511,70
20200110192132,0,180
20200111190018,385,0
20200111190121,770,45
20200111190124,222,0
20200111190126,140,0
20200111190133,745,25
20200111190136,585,0
20200111190524,400,0
20200111190532,399,0
20200111190541,45,0
20200111190545,110,165
20200111190558,105,0
20200111190564,370,0
20200111190566,615,75
20200111190573,310,0
20200111190584,65,0
20200111190600,900,0
20200111190618,199,60
20200111190629,95,0
20200111190637,60,0
20200111190672,455,0
20200111190678,181,120
20200111190697,287,40
20200111190710,40,45
20200111190724,327,56
20200111190734,301,0
20200111190741,75,0
20200111190750,412,0
20200111190772,20,0
20200111190804,0,0
20200111190814,413,120
20200111190830,85,0
20200111190837,825,120
20200111190845,75,15
20200111190860,19,40
20200111190889,90,60
20200111190922,20,0
20200111190926,25,0
20200111190956,190,0
20200111190960,340,60
20200111190968,286,0
20200111190977,320,0
20200111190985,37,15
20200111190992,337,0
20200111190999,220,0
20200111191006,303,30
20200111191018,535,0
20200111191048,135,0
20200111191056,1020,0
20200111191062,395,0
20200111191074,510,0
20200111191076,330,40
20200111191077,75,0
20200111191088,810,120
20200111191100,80,0
20200111191127,379,0
20200111191149,260,0
20200111191152,81,15
20200111191169,70,0
20200111191207,600,0
20200111191211,60,0
20200111191214,276,0
20200111191245,452,0
20200111191275,360,30
20200111191278,20,30
20200111191282,244,0
20200111191291,264,0
20200111191293,370,0
20200111191313,750,0
20200111191324,375,60
20200111191340,0,0
20200111191355,360,0
20200111191366,360,0
20200111191369,72,0
20200111191370,420,0
20200111191388,840,0
20200111191417,30,0
20200111191430,232,20
20200111191447,125,45
20200111191451,870,0
20200111191459,730,0
20200111191486,450,0
20200111191490,60,0
20200111191495,205,0
20200111191505,140,0
20200111191513,525,0
20200111191521,222,0
20200111191527,365,0
20200111191540,780,0
20200111191549,610,80
20200111191618,170,0
20200111191627,110,0
20200111191633,0,0
20200111191641,975,0
20200111191674,548,0
20200111191677,445,30
20200111191687,495,0
20200111191706,279,91
20200111191708,660,0
20200111191745,155,0
20200111191773,30,0
20200111191776,10,0
20200111191782,305,0
20200111191785,336,0
20200111191802,0,0
20200111191819,123,0
20200111191821,120,90
20200111191853,87,0
20200111191886,624,60
20200111191903,125,0
20200111191904,30,0
20200111191910,330,30
20200111191912,157,152
20200111191918,830,0
20200111191938,405,0
20200111191962,217,60
20200111191968,11,30
20200111191985,410,0
20200111191996,90,0
20200111192039,95,0
20200111192100,255,0
20200111192105,345,0
20200111192120,185,0
20200111192121,50,0
20200111192132,370,0
20200111192142,271,12
20200111192153,630,0
20200111192170,92,75
20200111192182,14,0
20200111192213,47,0
20200111192240,0,55
20200111192248,515,0
20200111192266,240,40
20200111192268,60,0
20200111192294,70,0
20200111192387,810,0
20200111192395,911,0
20200111192397,309,0
20200111192398,145,10
20200111192411,116,0
20200111192450,240,0
20200111192475,0,60
20200111192492,180,0
20200111192498,165,90
20200111192503,210,0
20200111192516,570,0
20200111192522,0,0
20200111192523,145,0
20200111192534,900,0
20200111192546,0,0
20200112190018,115,195
20200112190028,631,0
20200112190047,270,0
20200112190051,10,105
20200112190063,465,15
20200112190083,605,90
20200112190085,272,120
20200112190087,620,0
20200112190090,150,0
20200112190117,30,0
20200112190129,350,0
20200112190130,285,125
20200112190133,740,0
20200112190154,600,0
20200112190160,215,0
20200112190177,395,130
20200112190180,90,190
20200112190181,750,0
20200112190182,985,0
20200112190183,405,0
20200112190186,488,0
20200112190193,600,0
20200112190199,195,335
20200112190206,490,0
20200112190208,600,0
20200112190222,5,0
20200112190229,730,0
20200112190238,525,60
20200112190254,40,0
20200112190256,135,180
20200112190259,350,0
20200112190264,450,0
20200112190272,345,0
20200112190277,0,520
20200112190287,0,0
20200112190289,291,0
20200112190291,165,180
20200112190304,40,5
20200112190307,330,270
20200112190314,159,0
20200112190321,557,30
20200112190339,60,0
20200112190345,0,372
20200112190350,45,225
20200112190355,165,0
20200112190357,0,790
20200112190360,124,0
20200112190363,0,0
20200112190373,460,0
20200112190382,279,0
20200112190385,650,0
20200112190388,165,0
20200112190502,135,120
20200112190507,665,0
20200112190508,358,0
20200112190511,58,20
20200112190514,168,0
20200112190521,195,40
20200112190544,289,0
20200112190546,710,0
20200112190548,345,5
20200112190550,835,15
20200112190551,420,60
20200112190552,90,15
20200112190554,720,120
20200112190556,305,0
20200112190559,870,0
20200112190561,375,0
20200112190563,428,240
20200112190577,440,165
20200112190583,150,0
20200112190585,835,0
20200112190587,0,0
20200112190588,470,0
20200112190593,476,0
20200112190594,210,20
20200112190595,513,0
20200112190599,120,0
20200112190609,733,0
20200112190611,285,60
20200112190618,440,15
20200112190619,205,0
20200112190621,350,0
20200112190622,272,10
20200112190633,820,0
20200112190634,85,0
20200112190638,420,0
20200112190639,170,0
20200112190642,350,10
20200112190643,300,60
20200112190644,60,0
20200112190646,510,0
20200112190647,320,0
20200112190649,460,75
20200112190651,150,60
20200112190652,75,0
20200112190657,45,10
20200112190661,350,0
20200112190666,890,0
20200112190667,220,25
20200112190672,223,30
20200112190673,0,150
20200112190679,690,0
20200112190689,265,120
20200112190696,322,90
20200112190698,30,0
20200112190701,632,70
20200112190704,615,0
20200112190705,0,0
20200112190710,462,0
20200112190711,17,178
20200112190721,60,90
20200112190725,380,180
20200112190726,0,50
20200112190728,120,150
20200112190730,525,0
20200112190731,380,0
20200112190736,420,220
20200112190744,60,0
20200112190748,105,10
20200112190749,325,0
20200112190753,205,0
20200112190758,570,240
20200112190759,90,0
20200112190783,120,85
20200112190784,535,0
20200112190788,485,0
20200112190794,234,0
20200112190798,225,0
20200112190802,80,0
20200112190806,440,0
20200112190808,570,0
20200112190813,960,0
20200112190819,30,0
20200112190835,245,0
20200112190836,575,0
20200112190842,600,45
20200112190843,215,0
20200112190845,945,30
20200112190848,185,0
20200112190855,345,0
20200112190856,533,0
20200112190860,235,105
20200112190863,30,990
20200112190864,885,0
20200112190865,65,0
20200112190871,400,0
20200112190880,53,0
20200112190885,870,0
20200112190889,138,0
20200112190896,840,0
20200112190898,345,0
20200112190909,200,0
20200112190917,465,120
20200112190919,180,0
20200112190921,515,0
20200112190922,550,0
20200112190948,94,0
20200112190952,185,55
20200112190956,495,120
20200112190957,30,0
20200112190959,505,0
20200112190961,201,0
20200112190963,760,0
20200112190966,645,0
20200112190971,540,0
20200112190976,100,150
20200112190978,395,120
20200112190989,870,0
20200112190990,120,0
20200112190991,0,0
20200112190997,392,0
20200112191000,680,0
20200112191003,70,0
20200112191005,212,138
20200112191008,185,0
20200112191013,840,0
20200112191016,90,0
20200112191018,630,0
20200112191026,160,0
20200112191029,60,0
20200112191032,260,0
20200112191033,182,0
20200112191034,65,189
20200112191039,775,10
20200112191042,50,0
20200112191046,70,0
20200112191055,127,15
20200112191057,530,0
20200112191058,175,270
20200112191061,155,0
20200112191068,585,0
20200112191076,0,0
20200112191077,20,0
20200112191084,17,0
20200112191086,115,0
20200112191087,330,30
20200112191090,215,0
20200112191094,170,0
20200112191097,790,0
20200112191099,780,0
20200112191101,115,0
20200112191105,125,30
20200112191106,595,0
20200112191109,499,0
20200112191111,660,0
20200112191117,510,0
20200112191118,500,0
20200112191131,695,0
20200112191132,622,0
20200112191136,450,0
20200112191140,0,90
20200112191141,595,0
20200112191143,87,10
20200112191145,765,90
20200112191147,125,0
20200112191154,455,0
20200112191160,750,0
20200112191165,169,20
20200112191166,780,0
20200112191167,135,0
20200112191169,690,110
20200112191173,90,0
20200112191181,740,10
20200112191182,20,255
20200112191184,780,0
20200112191187,705,0
20200112191189,30,2
20200112191196,230,35
20200112191197,100,120
20200112191198,940,0
20200112191202,450,0
20200112191204,90,0
20200112191206,365,0
20200112191208,0,0
20200112191211,720,0
20200112191213,168,0
20200112191214,25,65
20200112191217,300,0
20200112191218,0,0
20200112191223,269,45
20200112191224,110,0
20200112191234,0,0
20200112191240,40,235
20200112191243,477,70
20200112191244,125,0
20200112191245,196,75
20200112191247,405,60
20200112191248,570,0
20200112191249,330,0
20200112191252,0,0
20200112191253,185,50
20200112191261,210,0
20200112191266,844,0
20200112191267,315,0
20200112191270,350,60
20200112191271,117,0
20200112191272,0,60
20200112191275,0,120
20200112191276,210,0
20200112191284,519,150
20200112191289,472,0
20200112191295,430,0
20200112191298,130,0
20200112191301,331,12
20200112191302,401,35
20200112191308,555,0
20200112191311,609,0
20200112191313,450,0
20200112191323,295,0
20200112191325,0,5
