TUCASEID,time_spent_alone_nonwork_related,socializing_with_others
20210101210037,450,0
20210101210081,330,0
20210101210099,130,0
20210101210101,445,0
20210101210109,425,0
20210101210115,525,0
20210101210131,660,180
20210101210139,180,60
20210101210155,325,0
20210101210175,415,0
20210101210180,780,0
20210101210201,645,0
20210101210223,600,0
20210101210240,120,0
20210101210247,835,0
20210101210269,223,0
20210101210275,440,0
20210101210276,342,0
20210101210285,380,10
20210101210292,70,66
20210101210295,125,0
20210101210322,491,0
20210101210339,586,0
20210101210340,365,60
20210101210536,50,30
20210101210537,420,30
20210101210549,540,0
20210101210572,150,0
20210101210576,391,405
20210101210580,248,1
20210101210600,745,0
20210101210610,780,0
20210101210612,492,0
20210101210618,750,0
20210101210633,620,0
20210101210641,185,120
20210101210660,220,0
20210101210672,965,0
20210101210677,930,0
20210101210693,610,0
20210101210700,90,180
20210101210716,610,230
20210101210721,665,0
20210101210735,30,15
20210101210741,135,0
20210101210748,1022,0
20210101210773,915,120
20210101210779,360,15
20210101210811,342,0
20210101210815,600,0
20210101210827,780,0
20210101210830,50,0
20210101210833,741,0
20210101210841,0,0
20210101210859,50,0
20210101210860,575,310
20210101210863,355,5
20210101210867,515,195
20210101210869,20,130
20210101210870,450,0
20210101210886,210,30
20210101210889,615,120
20210101210890,0,0
20210101210892,840,0
20210101210898,115,0
20210101210913,1010,0
20210101210919,855,0
20210101210923,115,155
20210101210925,565,0
20210101210954,105,0
20210101210965,780,0
20210101210967,30,120
20210101210976,142,0
20210101210995,779,0
20210101211001,685,0
20210101211009,285,0
20210101211021,0,0
20210101211044,125,0
20210101211051,45,0
20210101211064,590,0
20210101211070,215,0
20210101211073,305,0
20210101211080,175,0
20210101211081,570,0
20210101211093,700,0
20210101211109,885,0
20210101211113,480,0
20210101211123,2,224
20210101211145,132,190
20210101211155,105,0
20210101211156,310,120
20210101211166,964,0
20210101211186,635,0
20210101211193,840,0
20210101211224,728,0
20210101211226,903,0
20210101211234,75,90
20210101211240,725,0
20210101211255,388,0
20210101211271,360,0
20210101211278,60,0
20210101211288,213,150
20210101211317,20,0
20210101211326,60,0
20210101211363,620,45
20210101211386,181,0
20210101211391,150,0
20210101211401,1040,0
20210101211403,120,0
20210101211412,840,0
