,lsat,pass_bar,bar
1,44.0,1.0,b'a Passed 1st time'
2,29.0,1.0,b'a Passed 1st time'
5,37.0,1.0,b'a Passed 1st time'
6,43.0,1.0,b'a Passed 1st time'
8,41.0,1.0,b'a Passed 1st time'
9,37.0,0.0,b'c Failed'
10,24.5,1.0,b'b Passed 2nd time'
11,34.0,1.0,b'b Passed 2nd time'
12,35.0,0.0,b'c Failed'
13,40.0,1.0,b'b Passed 2nd time'
15,37.0,1.0,b'b Passed 2nd time'
16,35.0,1.0,b'a Passed 1st time'
18,33.0,1.0,b'a Passed 1st time'
20,28.0,1.0,b'a Passed 1st time'
22,32.5,1.0,b'a Passed 1st time'
23,32.5,1.0,b'a Passed 1st time'
24,23.0,1.0,b'a Passed 1st time'
25,37.0,1.0,b'a Passed 1st time'
26,41.0,1.0,b'a Passed 1st time'
27,40.0,1.0,b'a Passed 1st time'
28,30.0,1.0,b'a Passed 1st time'
29,40.0,1.0,b'a Passed 1st time'
30,22.0,1.0,b'a Passed 1st time'
31,48.0,1.0,b'a Passed 1st time'
32,36.0,1.0,b'b Passed 2nd time'
33,36.0,1.0,b'a Passed 1st time'
35,36.0,1.0,b'a Passed 1st time'
36,45.0,1.0,b'a Passed 1st time'
37,35.0,1.0,b'a Passed 1st time'
38,27.0,1.0,b'a Passed 1st time'
40,47.0,1.0,b'a Passed 1st time'
41,36.0,1.0,b'a Passed 1st time'
42,48.0,1.0,b'a Passed 1st time'
43,46.0,1.0,b'a Passed 1st time'
44,39.0,1.0,b'a Passed 1st time'
47,39.0,1.0,b'a Passed 1st time'
48,39.0,1.0,b'a Passed 1st time'
49,38.0,1.0,b'a Passed 1st time'
50,32.0,1.0,b'a Passed 1st time'
51,39.0,1.0,b'a Passed 1st time'
52,41.0,1.0,b'a Passed 1st time'
53,29.0,1.0,b'a Passed 1st time'
54,48.0,1.0,b'a Passed 1st time'
55,27.0,1.0,b'a Passed 1st time'
57,31.0,1.0,b'a Passed 1st time'
58,45.0,1.0,b'a Passed 1st time'
59,36.0,1.0,b'a Passed 1st time'
60,34.0,0.0,b'c Failed'
61,35.0,1.0,b'a Passed 1st time'
62,35.0,1.0,b'a Passed 1st time'
63,36.0,1.0,b'a Passed 1st time'
64,42.0,1.0,b'a Passed 1st time'
65,30.0,1.0,b'a Passed 1st time'
66,25.0,1.0,b'a Passed 1st time'
67,31.5,1.0,b'a Passed 1st time'
69,40.0,1.0,b'a Passed 1st time'
70,45.0,1.0,b'a Passed 1st time'
71,40.0,1.0,b'a Passed 1st time'
72,41.0,1.0,b'a Passed 1st time'
73,34.0,1.0,b'a Passed 1st time'
76,39.0,1.0,b'a Passed 1st time'
77,38.0,1.0,b'a Passed 1st time'
78,41.0,1.0,b'b Passed 2nd time'
79,31.0,1.0,b'a Passed 1st time'
80,42.0,1.0,b'a Passed 1st time'
81,34.0,1.0,b'a Passed 1st time'
82,36.0,1.0,b'a Passed 1st time'
84,37.0,1.0,b'a Passed 1st time'
85,42.0,1.0,b'a Passed 1st time'
86,36.0,1.0,b'a Passed 1st time'
87,42.0,1.0,b'a Passed 1st time'
