TUCASEID,t010101
20210101210037,450
20210101210081,510
20210101210099,530
20210101210101,640
20210101210109,775
20210101210115,480
20210101210131,540
20210101210139,765
20210101210155,840
20210101210175,570
20210101210180,570
20210101210201,680
20210101210223,690
20210101210240,480
20210101210247,570
20210101210269,571
20210101210275,365
20210101210276,525
20210101210285,928
20210101210292,710
20210101210295,650
20210101210322,240
20210101210339,480
20210101210340,580
20210101210536,520
20210101210537,510
20210101210549,565
20210101210572,345
20210101210576,105
20210101210580,519
20210101210600,660
20210101210610,660
20210101210612,660
20210101210618,680
20210101210633,540
20210101210641,420
20210101210660,460
20210101210672,420
20210101210677,480
20210101210693,365
20210101210700,450
20210101210716,480
20210101210721,585
20210101210735,645
20210101210741,480
20210101210748,418
20210101210773,405
20210101210779,495
20210101210811,750
20210101210815,615
20210101210827,540
20210101210830,580
20210101210833,399
20210101210841,570
20210101210859,570
20210101210860,422
20210101210863,450
20210101210867,810
20210101210869,425
20210101210870,435
20210101210886,570
20210101210889,660
20210101210890,750
20210101210892,540
20210101210898,500
20210101210913,420
20210101210919,585
20210101210923,630
20210101210925,510
20210101210954,570
20210101210965,480
20210101210967,510
20210101210976,455
20210101210995,601
20210101211001,689
20210101211009,295
20210101211021,840
20210101211044,570
20210101211051,510
20210101211064,540
20210101211070,385
20210101211073,450
20210101211080,615
20210101211081,600
20210101211093,720
20210101211109,525
20210101211113,390
20210101211123,658
20210101211145,650
20210101211155,620
20210101211156,480
20210101211166,150
20210101211186,600
20210101211193,600
20210101211224,577
20210101211226,447
20210101211234,600
20210101211240,630
20210101211255,407
20210101211271,570
20210101211278,660
20210101211288,615
20210101211317,645
20210101211326,510
20210101211363,445
20210101211386,494
20210101211391,480
20210101211401,400
20210101211403,630
20210101211412,540
20210101211426,420
20210101211458,620
20210101211488,445
20210101211494,530
20210101211498,817
20210101211499,360
20210101211503,255
20210101211524,465
20210101211568,298
20210101211570,629
20210101211575,605
20210101211597,555
20210101211600,615
20210101211608,540
20210101211614,600
20210101211618,540
20210101211633,445
20210101211657,495
20210101211701,360
20210101211722,572
20210101211739,630
20210101211769,585
20210101211776,900
20210101211784,340
20210101211808,660
20210101211828,710
20210101211831,600
20210101211850,360
20210101211889,480
20210101211903,675
20210101211912,720
20210101211914,510
20210101211930,450
20210101211934,480
20210101211970,570
20210101211994,540
20210101211996,750
20210101212002,568
20210101212035,660
20210101212046,745
20210101212051,600
20210101212057,420
20210101212066,655
20210101212075,660
20210101212088,450
20210101212124,480
20210101212143,480
20210101212144,360
20210101212145,570
20210101212146,515
20210101212173,570
20210101212189,570
20210101212190,600
20210101212211,250
20210101212226,550
20210101212246,540
20210101212256,585
20210101212282,540
20210101212301,809
20210101212308,613
20210101212321,480
20210101212335,515
20210110200250,570
20210110200265,515
20210110200284,810
20210110200680,540
20210110200728,540
20210110201596,420
20210110202105,630
20210110202257,645
20210111200012,475
20210111200028,570
20210111200072,630
20210111200147,855
20210111200165,624
20210111200202,660
20210111200213,360
20210111200229,623
20210111200244,690
20210111200257,570
20210111200262,409
20210111200277,780
20210111200288,665
20210111200344,540
20210111200508,375
20210111200509,460
20210111200567,543
20210111200602,480
20210111200611,422
20210111200644,455
20210111200657,600
20210111200658,510
20210111200666,555
20210111200683,720
20210111200685,525
20210111200702,540
20210111200719,280
20210111200739,554
20210111200746,660
20210111200765,540
20210111200768,590
20210111200782,640
20210111200783,430
20210111200807,585
20210111200826,519
20210111200864,420
20210111200869,570
20210111200893,538
20210111200901,720
20210111200953,420
20210111200992,600
20210111201005,665
20210111201032,480
20210111201068,570
20210111201069,570
20210111201072,545
20210111201084,570
20210111201112,570
20210111201113,540
20210111201122,645
20210111201128,570
20210111201136,430
20210111201140,475
20210111201155,555
20210111201178,360
20210111201182,465
20210111201194,660
20210111201266,480
20210111201275,540
20210111201281,470
20210111201288,600
20210111201319,620
20210111201323,420
20210111201332,830
20210111201348,480
20210111201349,780
20210111201373,738
20210111201374,540
20210111201383,555
20210111201417,523
20210111201439,600
20210111201444,305
20210111201457,540
20210111201463,360
20210111201473,435
20210111201489,590
20210111201492,540
20210111201498,570
20210111201525,519
20210111201528,480
20210111201538,600
20210111201541,405
20210111201542,420
20210111201549,450
20210111201573,360
20210111201602,480
20210111201628,570
20210111201630,810
20210111201633,600
20210111201645,420
20210111201662,420
20210111201665,530
20210111201672,940
20210111201703,440
20210111201710,480
20210111201713,570
20210111201735,660
20210111201767,610
20210111201774,388
20210111201795,570
20210111201799,600
20210111201803,580
20210111201817,630
20210111201821,570
20210111201822,540
20210111201896,480
20210111201904,390
20210111201908,315
20210111201915,450
20210111201916,120
20210111201921,540
20210111202009,420
20210111202045,690
20210111202077,533
20210111202079,630
20210111202082,540
20210111202083,420
20210111202094,520
20210111202105,660
20210111202109,670
20210111202131,660
20210111202187,341
20210111202202,1134
20210111202222,390
20210111202227,600
20210111202232,450
20210111202257,570
20210111202262,690
20210111202274,220
20210111202276,640
20210111202291,420
20210111202301,540
20210111202304,518
20210112200001,300
20210112200013,530
20210112200031,630
20210112200035,401
20210112200049,490
20210112200054,640
20210112200058,570
20210112200059,780
20210112200072,535
20210112200074,500
20210112200077,900
20210112200078,225
20210112200088,595
20210112200101,525
20210112200103,630
20210112200110,480
20210112200114,585
20210112200115,555
20210112200116,420
20210112200117,525
20210112200120,720
20210112200135,510
20210112200136,660
20210112200140,465
20210112200141,605
20210112200142,460
20210112200143,360
20210112200145,456
20210112200146,555
20210112200150,570
20210112200153,600
20210112200155,780
20210112200168,480
20210112200182,450
20210112200184,540
20210112200185,510
20210112200189,485
20210112200193,900
20210112200194,394
20210112200199,630
20210112200200,630
20210112200203,715
20210112200204,510
20210112200206,630
20210112200208,610
20210112200224,830
20210112200232,480
20210112200234,410
20210112200235,600
20210112200243,490
20210112200246,690
20210112200250,560
20210112200255,590
20210112200265,735
20210112200272,810
20210112200278,390
20210112200279,540
20210112200280,724
20210112200282,570
20210112200289,705
20210112200291,485
20210112200297,360
20210112200304,632
20210112200307,570
20210112200310,540
20210112200313,780
20210112200316,765
20210112200317,630
20210112200327,725
20210112200329,570
20210112200333,780
20210112200336,615
20210112200341,514
20210112200342,540
20210112200343,540
20210112200344,570
20210112200503,540
20210112200506,529
20210112200507,536
20210112200510,480
20210112200515,510
20210112200516,480
20210112200519,650
20210112200525,810
20210112200533,555
20210112200534,510
20210112200535,540
20210112200537,475
20210112200538,510
20210112200539,540
20210112200543,870
20210112200545,540
20210112200548,785
20210112200551,540
20210112200552,640
20210112200553,520
20210112200554,420
20210112200555,255
20210112200557,600
20210112200559,480
20210112200560,580
20210112200566,435
20210112200575,622
20210112200576,525
20210112200577,510
20210112200578,662
20210112200580,615
20210112200583,540
20210112200585,505
20210112200588,335
20210112200589,520
20210112200591,540
20210112200593,480
20210112200615,780
20210112200616,410
20210112200621,480
20210112200622,420
20210112200623,520
20210112200626,555
20210112200630,540
20210112200632,475
20210112200634,600
20210112200636,540
20210112200641,435
20210112200642,485
20210112200643,660
20210112200646,345
20210112200651,505
20210112200659,920
20210112200662,555
20210112200663,420
20210112200664,645
20210112200671,540
20210112200676,630
20210112200678,630
20210112200682,530
20210112200685,450
20210112200686,600
20210112200687,570
20210112200688,600
20210112200690,615
20210112200700,270
20210112200701,720
20210112200704,420
20210112200712,420
20210112200717,705
20210112200720,480
20210112200723,450
20210112200724,345
20210112200726,485
20210112200730,450
20210112200736,480
20210112200737,690
20210112200742,620
20210112200743,480
20210112200750,420
20210112200753,515
20210112200755,450
20210112200761,495
20210112200762,585
20210112200767,390
20210112200769,600
20210112200773,480
20210112200776,540
20210112200779,480
20210112200780,530
20210112200787,465
20210112200788,610
20210112200793,585
20210112200808,540
20210112200809,450
20210112200811,580
20210112200812,426
20210112200816,1260
20210112200817,420
20210112200820,525
20210112200821,638
20210112200822,720
20210112200825,450
20210112200833,660
20210112200834,600
20210112200835,447
20210112200836,595
20210112200839,650
20210112200840,630
20210112200842,550
20210112200843,450
20210112200849,507
20210112200854,570
20210112200855,670
20210112200860,710
20210112200861,180
20210112200864,409
20210112200869,600
20210112200873,500
20210112200874,510
20210112200877,525
20210112200879,560
20210112200881,785
20210112200885,465
20210112200888,570
20210112200889,525
20210112200893,470
20210112200899,345
20210112200902,634
20210112200905,540
20210112200906,1428
20210112200913,690
20210112200914,420
20210112200920,690
20210112200922,175
20210112200924,750
20210112200927,685
20210112200930,769
20210112200934,510
20210112200939,480
20210112200942,570
20210112200946,600
20210112200950,585
20210112200951,425
20210112200953,540
20210112200960,475
20210112200961,595
20210112200962,480
20210112200967,300
20210112200972,555
20210112200973,539
20210112200976,510
20210112200982,570
20210112200985,647
20210112200989,420
20210112200999,600
20210112201003,420
20210112201004,390
20210112201007,455
20210112201011,540
20210112201012,480
20210112201014,480
20210112201015,660
20210112201017,515
20210112201021,805
20210112201022,420
20210112201023,600
20210112201024,417
20210112201027,644
20210112201030,390
20210112201033,660
20210112201042,240
20210112201047,690
20210112201056,625
20210112201064,510
20210112201066,495
20210112201075,510
20210112201077,510
20210112201082,728
20210112201088,248
20210112201091,720
20210112201093,620
20210112201094,660
20210112201095,510
20210112201101,540
20210112201107,485
20210112201109,420
20210112201110,900
20210112201111,540
20210112201112,420
20210112201113,577
20210112201115,660
20210112201116,420
20210112201121,560
20210112201124,630
20210112201125,465
20210112201127,480
20210112201129,450
20210112201130,450
20210112201139,255
20210112201145,720
20210112201148,745
20210112201156,480
20210112201160,390
20210112201162,660
20210112201168,540
20210112201175,555
20210112201176,690
20210112201178,510
20210112201180,570
20210112201183,480
20210112201184,480
20210112201186,535
20210112201189,720
20210112201191,630
20210112201193,510
20210112201194,450
20210112201196,540
20210112201197,480
20210112201203,690
20210112201204,660
20210112201206,510
20210112201207,510
20210112201209,520
20210112201211,720
20210112201212,630
20210112201213,465
20210112201214,630
20210112201217,270
20210112201218,595
20210112201219,470
20210112201222,500
20210112201223,595
20210112201224,440
20210112201228,650
20210112201230,645
20210112201232,480
20210112201236,510
20210112201239,660
20210112201244,265
20210112201245,0
20210112201247,510
20210112201256,540
20210112201264,342
20210112201265,580
20210112201281,420
20210112201288,495
20210112201296,450
20210112201298,455
20210112201300,565
20210112201304,450
20210112201305,480
20210112201306,570
20210112201310,510
20210112201311,570
20210112201313,569
20210112201314,625
20210112201315,480
20210112201317,510
20210112201319,510
20210112201322,420
20210112201324,420
20210112201326,600
20210112201329,560
20210112201330,210
20210112201343,525
20210112201345,540
20210112201347,395
20210112201349,565
20210112201352,660
20210112201355,630
20210112201356,420
20210112201358,505
20210112201360,600
20210112201365,525
20210112201366,530
20210112201367,460
20210112201368,430
20210112201369,317
20210112201373,505
20210112201378,420
20210112201381,525
20210112201385,746
20210112201387,750
20210112201388,480
20210112201392,450
20210112201395,495
20210112201398,540
20210112201401,740
20210112201405,625
20210112201410,660
20210112201413,330
20210112201414,627
20210112201417,610
20210112201418,690
20210112201419,420
20210112201421,580
20210112201423,360
20210112201426,390
20210112201428,530
20210112201432,300
20210112201434,619
20210112201438,610
20210112201442,730
20210112201444,405
20210112201447,710
20210112201448,630
20210112201449,635
20210112201450,405
20210112201456,540
20210112201461,660
20210112201462,450
20210112201464,595
20210112201465,540
20210112201466,680
20210112201472,423
20210112201475,510
20210112201476,480
20210112201481,450
20210112201489,510
20210112201490,420
20210112201495,790
20210112201496,360
20210112201498,545
20210112201506,660
20210112201507,495
20210112201511,540
20210112201513,615
20210112201517,375
20210112201520,510
20210112201534,550
20210112201536,760
20210112201538,510
20210112201540,475
20210112201542,630
20210112201543,360
20210112201548,923
20210112201554,690
20210112201556,585
20210112201557,510
20210112201558,740
20210112201559,540
20210112201561,570
20210112201566,730
20210112201572,460
20210112201574,535
20210112201576,500
20210112201582,570
20210112201586,690
20210112201588,650
20210112201590,450
20210112201595,480
20210112201596,630
20210112201597,480
20210112201599,510
20210112201602,615
20210112201605,600
20210112201608,645
20210112201611,630
20210112201612,660
20210112201613,510
20210112201617,515
20210112201619,540
20210112201620,525
20210112201622,645
20210112201624,439
20210112201631,525
20210112201634,480
20210112201638,765
20210112201639,600
20210112201642,480
20210112201643,495
20210112201645,570
20210112201649,480
20210112201651,632
20210112201652,470
20210112201655,415
20210112201667,540
20210112201669,420
20210112201671,600
20210112201675,645
20210112201676,540
20210112201677,570
20210112201682,570
20210112201688,570
20210112201690,450
20210112201691,662
20210112201699,387
20210112201701,565
20210112201703,505
20210112201704,330
20210112201705,540
20210112201708,540
20210112201710,540
20210112201717,805
20210112201718,355
20210112201723,720
20210112201725,395
20210112201726,500
20210112201727,575
20210112201729,530
20210112201733,570
20210112201735,395
20210112201737,630
20210112201742,750
20210112201745,570
20210112201748,780
20210112201750,570
20210112201752,442
20210112201760,600
20210112201763,400
20210112201765,795
20210112201766,525
20210112201767,780
20210112201775,675
20210112201776,600
20210112201778,450
20210112201782,450
20210112201785,555
20210112201786,420
20210112201789,510
20210112201790,540
20210112201791,301
20210112201792,570
20210112201797,510
20210112201801,465
20210112201804,510
20210112201805,450
20210112201810,450
20210112201811,570
20210112201812,480
20210112201819,635
20210112201820,540
20210112201822,450
20210112201823,720
20210112201826,390
20210112201828,420
20210112201830,600
20210112201834,535
20210112201836,330
20210112201837,660
20210112201840,540
20210112201854,550
20210112201856,610
20210112201862,570
20210112201863,525
20210112201864,600
20210112201866,330
20210112201869,625
20210112201877,495
20210112201878,495
20210112201880,460
20210112201881,510
20210112201882,510
20210112201883,570
20210112201886,645
20210112201887,410
20210112201891,1040
20210112201895,558
20210112201899,495
20210112201900,630
20210112201901,600
20210112201902,540
20210112201904,720
20210112201908,610
20210112201913,540
20210112201916,450
20210112201918,720
20210112201919,750
20210112201924,540
20210112201927,603
20210112201934,795
20210112201935,539
20210112201936,570
20210112201939,585
20210112201941,500
20210112201944,500
20210112201948,690
20210112201952,480
20210112201957,435
20210112201958,494
20210112201961,620
20210112201963,420
20210112201965,750
20210112201969,405
20210112201970,420
20210112201974,780
20210112201976,495
20210112201980,480
20210112201987,555
20210112201989,360
20210112201990,450
20210112201994,480
20210112201997,560
20210112202007,600
20210112202012,810
20210112202013,625
20210112202015,750
20210112202019,535
20210112202021,600
20210112202022,690
20210112202024,610
20210112202028,545
20210112202030,480
20210112202031,430
20210112202033,570
20210112202034,510
20210112202037,580
20210112202041,660
20210112202043,390
20210112202054,580
20210112202056,450
20210112202058,734
20210112202062,790
20210112202070,465
20210112202071,680
20210112202072,630
20210112202074,540
20210112202076,390
20210112202077,484
20210112202078,540
20210112202079,570
20210112202081,635
20210112202084,525
20210112202090,420
20210112202097,540
20210112202100,465
20210112202101,510
20210112202105,0
20210112202109,185
20210112202114,497
20210112202115,694
20210112202117,480
20210112202123,880
20210112202128,490
20210112202130,655
20210112202133,750
20210112202143,535
20210112202144,450
20210112202149,510
20210112202150,570
20210112202152,542
20210112202154,810
20210112202158,385
20210112202160,540
20210112202165,360
20210112202166,420
20210112202170,420
20210112202173,480
20210112202182,600
20210112202186,540
20210112202188,420
20210112202189,599
20210112202190,450
20210112202191,510
20210112202199,549
20210112202202,530
20210112202205,540
20210112202211,540
20210112202212,570
20210112202214,480
20210112202217,677
20210112202222,870
20210112202223,615
20210112202230,600
20210112202234,715
20210112202235,520
20210112202237,480
20210112202238,350
20210112202241,225
20210112202242,630
20210112202244,600
20210112202250,840
20210112202252,480
20210112202256,560
20210112202263,510
20210112202266,450
20210112202267,540
20210112202270,570
20210112202273,390
20210112202283,735
20210112202284,525
20210112202288,600
20210112202291,425
20210112202292,635
20210112202296,540
20210112202298,660
20210112202300,630
20210112202302,563
20210112202304,540
20210112202307,480
20210112202308,550
20210112202313,660
20210112202317,540
20210112202319,570
20210112202320,480
20210112202321,445
20210112202328,660
20210112202332,770
20210112202337,390
20210112202339,610
20210112202341,410
20210112202344,650
20210201210009,615
20210201210010,575
20210201210039,425
20210201210065,635
20210201210070,364
20210201210078,675
20210201210080,510
20210201210084,630
20210201210086,570
20210201210092,510
20210201210102,535
20210201210114,630
20210201210119,500
20210201210126,720
20210201210138,600
20210201210142,600
20210201210147,393
20210201210150,660
20210201210153,240
20210201210157,540
20210201210172,787
20210201210173,645
20210201210176,875
20210201210181,630
20210201210195,435
20210201210205,360
20210201210208,600
20210201210211,625
20210201210212,640
20210201210213,493
20210201210239,345
20210201210241,560
20210201210259,660
20210201210265,480
20210201210268,780
20210201210270,495
20210201210278,545
20210201210281,610
20210201210287,540
20210201210299,555
20210201210303,720
20210201210304,620
20210201210310,555
20210201210315,660
20210201210319,510
20210201210330,630
20210201210331,530
20210201210333,630
20210201210337,555
20210201210338,605
20210201210501,480
20210201210506,425
20210201210510,489
20210201210513,260
20210201210515,410
20210201210517,600
20210201210521,630
20210201210526,480
20210201210527,570
20210201210530,570
20210201210533,510
20210201210534,450
20210201210545,660
20210201210546,520
20210201210548,585
20210201210563,456
20210201210564,600
20210201210567,715
20210201210568,630
20210201210569,450
20210201210571,615
20210201210575,510
20210201210582,504
20210201210587,720
20210201210588,635
20210201210589,495
