TUCASEID,t010101
20200101200103,165
20200101200158,390
20200101200215,600
20200101200256,490
20200101200395,443
20200101200512,1397
20200101200532,570
20200101200576,606
20200101200586,436
20200101200641,420
20200101200655,540
20200101200694,1080
20200101200719,477
20200101200734,630
20200101200759,385
20200101200771,480
20200101200780,525
20200101200809,673
20200101200814,420
20200101200829,500
20200101200838,500
20200101200849,691
20200101200861,510
20200101200890,480
20200101200915,770
20200101200964,630
20200101200973,280
20200101201014,450
20200101201058,375
20200101201073,657
20200101201074,1074
20200101201099,270
20200101201110,440
20200101201119,410
20200101201134,420
20200101201144,480
20200101201230,633
20200101201268,415
20200101201270,845
20200101201274,441
20200101201310,705
20200101201312,450
20200101201313,420
20200101201337,590
20200101201370,738
20200101201372,760
20200101201380,451
20200101201406,450
20200101201408,480
20200101201415,580
20200101201418,510
20200101201501,375
20200101201522,490
20200101201528,455
20200101201549,646
20200101201588,420
20200101201623,630
20200101201670,450
20200101201676,510
20200101201701,550
20200101201702,510
20200101201704,660
20200101201730,690
20200101201753,390
20200101201813,560
20200101201824,480
20200101201827,383
20200101201837,450
20200101201838,370
20200101201889,405
20200101201893,1005
20200101201900,824
20200101201965,317
20200101201975,465
20200101201983,465
20200101202001,450
20200101202027,540
20200101202032,600
20200101202046,510
20200101202107,375
20200101202178,440
20200101202240,367
20200101202252,517
20200110190084,394
20200110190691,420
20200110190781,989
20200110190880,660
20200110190896,480
20200110190981,555
20200110191038,655
20200110191107,525
20200110191249,810
20200110191270,545
20200110191335,690
20200110191477,755
20200110191538,510
20200110191855,690
20200110192022,780
20200110192026,705
20200110192132,510
20200111190018,460
20200111190121,267
20200111190124,690
20200111190126,395
20200111190133,340
20200111190136,420
20200111190524,510
20200111190532,450
20200111190541,535
20200111190545,255
20200111190558,545
20200111190564,540
20200111190566,480
20200111190573,0
20200111190584,360
20200111190600,480
20200111190618,491
20200111190629,520
20200111190637,475
20200111190672,660
20200111190678,520
20200111190697,397
20200111190710,390
20200111190724,480
20200111190734,420
20200111190741,465
20200111190750,590
20200111190772,460
20200111190804,435
20200111190814,535
20200111190830,430
20200111190837,480
20200111190845,445
20200111190860,280
20200111190889,510
20200111190922,1015
20200111190926,600
20200111190956,450
20200111190960,450
20200111190968,900
20200111190977,840
20200111190985,600
20200111190992,540
20200111190999,1080
20200111191006,602
20200111191018,495
20200111191048,515
20200111191056,210
20200111191062,465
20200111191074,630
20200111191076,525
20200111191077,600
20200111191088,480
20200111191100,665
20200111191127,522
20200111191149,470
20200111191152,475
20200111191169,370
20200111191207,540
20200111191211,540
20200111191214,687
20200111191245,510
20200111191275,645
20200111191278,1270
20200111191282,510
20200111191291,516
20200111191293,570
20200111191313,630
20200111191324,478
20200111191340,400
20200111191355,600
20200111191366,555
20200111191369,545
