TRTALONE,year
470,2020
220,2020
425,2020
470,2020
108,2020
43,2020
667,2020
195,2020
92,2020
375,2020
870,2020
360,2020
178,2020
185,2020
620,2020
165,2020
180,2020
0,2020
94,2020
250,2020
725,2020
188,2020
672,2020
577,2020
30,2020
330,2020
1140,2020
145,2020
248,2020
97,2020
366,2020
1150,2020
495,2020
591,2020
480,2020
940,2020
150,2020
73,2020
330,2020
759,2020
0,2020
930,2020
510,2020
0,2020
493,2020
500,2020
415,2020
640,2020
60,2020
301,2020
784,2020
360,2020
500,2020
443,2020
35,2020
70,2020
145,2020
120,2020
805,2020
160,2020
621,2020
605,2020
605,2020
110,2020
0,2020
325,2020
428,2020
480,2020
545,2020
160,2020
375,2020
144,2020
381,2020
400,2020
170,2020
79,2020
50,2020
0,2020
620,2020
600,2020
624,2020
928,2020
550,2020
125,2020
145,2020
450,2020
460,2020
0,2020
0,2020
255,2020
260,2020
60,2020
210,2020
0,2020
5,2020
0,2020
50,2020
660,2020
511,2020
0,2020
385,2020
770,2020
222,2020
140,2020
745,2020
585,2020
400,2020
399,2020
45,2020
110,2020
105,2020
370,2020
615,2020
310,2020
65,2020
900,2020
199,2020
95,2020
60,2020
455,2020
181,2020
287,2020
40,2020
327,2020
301,2020
75,2020
412,2020
20,2020
0,2020
413,2020
85,2020
825,2020
75,2020
19,2020
90,2020
20,2020
25,2020
190,2020
340,2020
286,2020
320,2020
37,2020
337,2020
220,2020
303,2020
535,2020
135,2020
1020,2020
395,2020
510,2020
330,2020
75,2020
810,2020
80,2020
379,2020
260,2020
81,2020
70,2020
600,2020
60,2020
276,2020
452,2020
360,2020
20,2020
244,2020
264,2020
370,2020
750,2020
375,2020
0,2020
360,2020
360,2020
72,2020
420,2020
840,2020
30,2020
232,2020
125,2020
870,2020
730,2020
450,2020
60,2020
205,2020
140,2020
525,2020
222,2020
365,2020
780,2020
610,2020
170,2020
110,2020
0,2020
975,2020
548,2020
445,2020
495,2020
279,2020
660,2020
155,2020
30,2020
10,2020
305,2020
336,2020
0,2020
123,2020
120,2020
87,2020
624,2020
125,2020
30,2020
330,2020
157,2020
830,2020
405,2020
217,2020
11,2020
410,2020
90,2020
95,2020
255,2020
345,2020
185,2020
50,2020
370,2020
271,2020
630,2020
92,2020
14,2020
47,2020
0,2020
515,2020
240,2020
60,2020
70,2020
810,2020
911,2020
309,2020
145,2020
116,2020
240,2020
0,2020
180,2020
165,2020
210,2020
570,2020
0,2020
145,2020
900,2020
0,2020
115,2020
631,2020
270,2020
10,2020
465,2020
605,2020
272,2020
620,2020
150,2020
30,2020
350,2020
285,2020
740,2020
600,2020
215,2020
395,2020
90,2020
750,2020
985,2020
405,2020
488,2020
600,2020
195,2020
490,2020
600,2020
5,2020
730,2020
525,2020
40,2020
135,2020
350,2020
450,2020
345,2020
0,2020
0,2020
291,2020
165,2020
40,2020
330,2020
159,2020
557,2020
60,2020
0,2020
45,2020
165,2020
0,2020
124,2020
0,2020
460,2020
279,2020
650,2020
165,2020
135,2020
665,2020
358,2020
58,2020
168,2020
195,2020
289,2020
710,2020
345,2020
835,2020
420,2020
90,2020
720,2020
305,2020
870,2020
375,2020
428,2020
440,2020
150,2020
835,2020
0,2020
470,2020
476,2020
210,2020
513,2020
120,2020
733,2020
285,2020
440,2020
205,2020
350,2020
272,2020
820,2020
85,2020
420,2020
170,2020
350,2020
300,2020
60,2020
510,2020
320,2020
460,2020
150,2020
75,2020
45,2020
350,2020
890,2020
220,2020
223,2020
0,2020
690,2020
265,2020
322,2020
30,2020
632,2020
615,2020
0,2020
462,2020
17,2020
60,2020
380,2020
0,2020
120,2020
525,2020
380,2020
420,2020
60,2020
105,2020
325,2020
205,2020
570,2020
90,2020
120,2020
535,2020
485,2020
234,2020
225,2020
80,2020
440,2020
570,2020
960,2020
30,2020
245,2020
575,2020
600,2020
215,2020
945,2020
185,2020
345,2020
533,2020
235,2020
30,2020
885,2020
65,2020
400,2020
53,2020
870,2020
138,2020
840,2020
345,2020
200,2020
465,2020
180,2020
515,2020
550,2020
94,2020
185,2020
495,2020
30,2020
505,2020
201,2020
760,2020
645,2020
540,2020
100,2020
395,2020
870,2020
120,2020
0,2020
392,2020
680,2020
70,2020
212,2020
185,2020
840,2020
90,2020
630,2020
160,2020
60,2020
260,2020
182,2020
65,2020
775,2020
50,2020
70,2020
127,2020
530,2020
175,2020
155,2020
585,2020
0,2020
20,2020
17,2020
115,2020
330,2020
215,2020
170,2020
790,2020
780,2020
115,2020
125,2020
595,2020
499,2020
660,2020
510,2020
500,2020
695,2020
622,2020
450,2020
0,2020
595,2020
87,2020
765,2020
125,2020
455,2020
750,2020
169,2020
780,2020
135,2020
690,2020
90,2020
740,2020
20,2020
780,2020
705,2020
30,2020
230,2020
100,2020
940,2020
450,2020
90,2020
365,2020
0,2020
720,2020
168,2020
25,2020
300,2020
0,2020
269,2020
110,2020
0,2020
40,2020
477,2020
125,2020
196,2020
405,2020
570,2020
330,2020
0,2020
185,2020
210,2020
844,2020
315,2020
350,2020
117,2020
0,2020
0,2020
210,2020
519,2020
472,2020
430,2020
130,2020
331,2020
401,2020
555,2020
609,2020
450,2020
295,2020
0,2020
201,2020
505,2020
0,2020
447,2020
305,2020
400,2020
255,2020
235,2020
235,2020
115,2020
930,2020
120,2020
690,2020
1080,2020
90,2020
30,2020
250,2020
900,2020
405,2020
360,2020
1115,2020
618,2020
930,2020
660,2020
840,2020
300,2020
400,2020
103,2020
271,2020
825,2020
450,2020
710,2020
268,2020
150,2020
0,2020
665,2020
20,2020
105,2020
725,2020
185,2020
0,2020
345,2020
130,2020
495,2020
60,2020
125,2020
820,2020
640,2020
270,2020
520,2020
500,2020
471,2020
840,2020
460,2020
795,2020
1080,2020
270,2020
140,2020
0,2020
0,2020
521,2020
510,2020
205,2020
365,2020
105,2020
842,2020
60,2020
720,2020
375,2020
750,2020
445,2020
300,2020
0,2020
30,2020
1060,2020
746,2020
60,2020
370,2020
95,2020
287,2020
62,2020
80,2020
875,2020
275,2020
580,2020
55,2020
25,2020
260,2020
380,2020
495,2020
405,2020
395,2020
317,2020
150,2020
0,2020
492,2020
870,2020
490,2020
100,2020
830,2020
283,2020
340,2020
477,2020
250,2020
0,2020
410,2020
90,2020
645,2020
840,2020
580,2020
600,2020
870,2020
200,2020
130,2020
975,2020
60,2020
75,2020
145,2020
570,2020
229,2020
110,2020
858,2020
135,2020
526,2020
210,2020
740,2020
100,2020
655,2020
190,2020
380,2020
765,2020
900,2020
0,2020
30,2020
20,2020
170,2020
105,2020
960,2020
0,2020
384,2020
421,2020
312,2020
163,2020
410,2020
416,2020
530,2020
890,2020
515,2020
730,2020
90,2020
515,2020
139,2020
80,2020
89,2020
0,2020
600,2020
722,2020
230,2020
340,2020
470,2020
150,2020
855,2020
735,2020
438,2020
95,2020
175,2020
165,2020
885,2020
550,2020
205,2020
780,2020
519,2020
1035,2020
495,2020
185,2020
130,2020
1065,2020
133,2020
330,2020
0,2020
140,2020
960,2020
752,2020
392,2020
151,2020
260,2020
400,2020
0,2020
115,2020
65,2020
105,2020
200,2020
690,2020
60,2020
730,2020
410,2020
355,2020
15,2020
990,2020
0,2020
275,2020
104,2020
75,2020
660,2020
720,2020
0,2020
595,2020
437,2020
30,2020
30,2020
755,2020
450,2020
105,2020
540,2020
75,2020
290,2020
928,2020
360,2020
131,2020
570,2020
600,2020
780,2020
45,2020
285,2020
422,2020
55,2020
580,2020
750,2020
120,2020
0,2020
645,2020
30,2020
290,2020
125,2020
840,2020
60,2020
99,2020
690,2020
780,2020
765,2020
870,2020
510,2020
454,2020
150,2020
150,2020
405,2020
50,2020
220,2020
30,2020
473,2020
755,2020
780,2020
540,2020
510,2020
169,2020
85,2020
450,2020
150,2020
930,2020
65,2020
125,2020
460,2020
360,2020
445,2020
238,2020
915,2020
449,2020
150,2020
38,2020
720,2020
630,2020
65,2020
435,2020
175,2020
177,2020
164,2020
485,2020
130,2020
105,2020
300,2020
1030,2020
30,2020
145,2020
415,2020
595,2020
586,2020
305,2020
0,2020
690,2020
95,2020
325,2020
725,2020
840,2020
900,2020
155,2020
118,2020
160,2020
735,2020
680,2020
175,2020
565,2020
271,2020
171,2020
30,2020
600,2020
455,2020
380,2020
470,2020
7,2020
120,2020
90,2020
663,2020
585,2020
0,2020
165,2020
290,2020
125,2020
825,2020
288,2020
320,2020
490,2020
440,2020
475,2020
210,2020
50,2020
345,2020
340,2020
450,2020
90,2020
14,2020
160,2020
425,2020
565,2020
360,2020
165,2020
326,2020
150,2020
235,2020
415,2020
410,2020
160,2020
94,2020
303,2020
990,2020
370,2020
0,2020
540,2020
345,2020
338,2020
150,2020
690,2020
5,2020
220,2020
190,2020
359,2020
150,2020
277,2020
138,2020
528,2020
285,2020
870,2020
810,2020
650,2020
705,2020
872,2020
1026,2020
115,2020
655,2020
795,2020
276,2020
54,2020
745,2020
480,2020
371,2020
108,2020
212,2020
500,2020
0,2020
565,2020
0,2020
240,2020
60,2020
194,2020
360,2020
280,2020
115,2020
70,2020
460,2020
460,2020
100,2020
450,2020
780,2020
54,2020
325,2020
830,2020
80,2020
540,2020
720,2020
422,2020
545,2020
0,2020
60,2020
0,2020
155,2020
55,2020
40,2020
608,2020
485,2020
0,2020
295,2020
881,2020
260,2020
180,2020
264,2020
81,2020
617,2020
540,2020
45,2020
660,2020
870,2020
440,2020
820,2020
597,2020
295,2020
160,2020
0,2020
1100,2020
600,2020
510,2020
810,2020
0,2020
525,2020
594,2020
15,2020
75,2020
240,2020
250,2020
230,2020
237,2020
916,2020
60,2020
295,2020
5,2020
10,2020
510,2020
510,2020
675,2020
10,2020
190,2020
405,2020
478,2020
180,2020
62,2020
197,2020
330,2020
240,2020
900,2020
456,2020
105,2020
97,2020
135,2020
600,2020
150,2020
720,2020
115,2020
510,2020
320,2020
420,2020
205,2020
815,2020
805,2020
605,2020
570,2020
0,2020
0,2020
335,2020
296,2020
720,2020
480,2020
0,2020
840,2020
900,2020
660,2020
491,2020
670,2020
320,2020
507,2020
35,2020
460,2020
185,2020
540,2020
660,2020
240,2020
330,2020
222,2020
160,2020
448,2020
264,2020
110,2020
150,2020
270,2020
250,2020
315,2020
250,2020
15,2020
190,2020
0,2020
720,2020
880,2020
224,2020
31,2020
200,2020
670,2020
500,2020
610,2020
140,2020
910,2020
0,2020
681,2020
695,2020
0,2020
70,2020
75,2020
342,2020
785,2020
747,2020
914,2020
70,2020
680,2020
143,2020
259,2020
605,2020
218,2020
125,2020
960,2020
355,2020
975,2020
115,2020
326,2020
693,2020
660,2020
900,2020
0,2020
190,2020
740,2020
325,2020
150,2020
35,2020
855,2020
15,2020
150,2020
630,2020
1110,2020
740,2020
205,2020
140,2020
555,2020
220,2020
285,2020
0,2020
915,2020
220,2020
67,2020
50,2020
35,2020
690,2020
33,2020
83,2020
200,2020
155,2020
295,2020
95,2020
180,2020
635,2020
40,2020
160,2020
300,2020
430,2020
180,2020
306,2020
695,2020
425,2020
165,2020
580,2020
0,2020
900,2020
225,2020
30,2020
490,2020
355,2020
210,2020
120,2020
30,2020
585,2020
645,2020
330,2020
20,2020
30,2020
510,2020
797,2020
75,2020
810,2020
80,2020
0,2020
715,2020
53,2020
165,2020
0,2020
230,2020
239,2020
170,2020
1060,2020
871,2020
0,2020
0,2020
385,2020
400,2020
750,2020
590,2020
300,2020
130,2020
215,2020
124,2020
300,2020
238,2020
420,2020
82,2020
175,2020
15,2020
514,2020
608,2020
120,2020
187,2020
650,2020
888,2020
260,2020
380,2020
540,2020
980,2020
720,2020
405,2020
290,2020
245,2020
390,2020
690,2020
